id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,c1,c2,c3,c4,c5
cU8isAx252Pfnq3Ry4by0yURaY8eqF6T39axey7IKXGcsMs,Zzr6t8JBx51iSQs9njcLiqV4CxmaNWH-ViQHcJPmo70p9LE,TyTFC9pyuhr53GiuVuEoM0pqNJ5HridA3zkNir6UsduU2DXMWq6lTohopUcBUkFJ53B348-vl8X1vw,vinhmap1243,4086,1558606954000,77,,,,,
otIzLS4C3NWwLOTUzlDZ-TOxeqvKBDVRJHBh0xNN3xBpNQo,nxsF8iCSk1EkQT96CKhOLKphfm9m0cDb3mZAarate6vHZQ,sHdvg_Zij68-irJHUS3Hifv-X-Q0sidNDdcdgx5WjTQObGSsjtigCfZPRS1SFA-k4z1ARlHrn1jz4A,DaRussianKnight,3006,1558938490000,34,,,,,
LvHUbmMqSh6_L9spRU70YTvr1fpeR_gh-LeRqPgKT279yD4,Xx1OR8JlpXDP3uZeCsRwOlwcEWbXIEbewxYF4hddwTf-mzA,nTLmK70BC4YpVPMwIXLXPPz8WRQVycPzisxSouaBiZXdHSzgNgIbP5hERLpNNi9LrwoCm22Z7BP9tg,LordlyStevo,4098,1558925836000,82,,,,,
mlAaGcVn-aefjMYGAzuJauJyH_O60z6E56AFS6Orw-mjT0w,c2NCga5YLtwwDN-U_BUm5eefrMm7xZFNbIbxHvQouqxIx0w,zSDIlSwAyq5pqoTBy1O8Pfbd21mnLIfpq7eSMz55h1bKIc9ZNv3-ypvgYV4s_ZOPl1tRxtuxxZ8dnQ,CaptainPorkchops,3015,1558405513000,46,,,,,
2PeJHunre246aN6t4CLpiqzMaVqb6ej5QuMXHgaR7NURYQk,RilQRmjh66CUz36nTXBQJ4LSivdARXF7-3bsFR50a97I8g,6tIm8a0N4x7YJDDaTu01dlMtnV_rwniECe5PU1OH8zXmn47jnyhrJ6zm59P5skpMylxxnmgKVusXJQ,Villyn,539,1558939519000,49,,,,,
igS2W1Q7LdkoK_B1M6BieqLMqcM2vwgtUX1taW9Hde0HISHP,Ng_o8UsaKYztoTuMg1SchoqNYHqi1XWwWrI9lWFmxNhAJNo9l0gYy0SV,wY-UKzFtxYouzgPAKj60anHphGSO7rWw69lIucjmvPWTcGKy1e8pxUtNdiESlbJAqhZVIv6vwz4RDw,pHanTomARC1,3550,1556667924000,41,,,,,
N3_6ww4AXYHTaMoGGJ_Z9qdOjfNTT1FbJLwdU6zwT4UbOTA,oY_8vIZOIp-7ndQIi9TDTpkU1OrmXiRfZI-4ndgQFc3yUbA,u0wqegWaAYV8IdbjeVH28-Rthi_MJq7Da4MIv2D-uoZ-_kigDnoNKUnlQ-zMGXURD6EYaKcvyDLQoA,SMACKAHOFGBOI,4057,1558673138000,81,,,,,
4yDlYhMxvbDSsKQ59MGm1valomXGGMV4hzcgY5t3G8rbqds,W818YZg93yx1befCiqqenEABrwVaeI6LazvX_H9hjW9mRQ,hPxgMKA4xp8iWCAYkcijjCUdCB1d38bUDzPiPlj-Dx6gLnfkGZI47_AYfvY-1OUD6p_5MydjnB5UfQ,pie454,25,1558892582000,30,,,,,
fD8I209zhmFxmalbGg4rFQWX9eZjVIwLUJVvmtDh5IBKb2I,4f9HEHRuRv-NcNKs2fJQ_kXjrF3tCZOqCct7EgmH95WJBv0,luLzLEXiZDt6q00LJwF0EZkuJ1MKhLHeXUTyYGNjBiAbDfJXW9XfWTGolHIxlnVcyOu6VVVMIAGSeg,AtlasMinor,3902,1549413326000,72,,,,,
tN0BlkCnHl5ucouvSnE9OKIhJTkvkyG_Iyp9Jp8zzh_eeXA,uoBbLfB7vqa7cX-uF1S6KCCRW9W2LMKPMMEZLxmtiWwsFNs,yRm_P6595s8cAdUXvqG9-nbINhw5lDkZA9tx_XJdb4URstamaYMTBNErdBNB-OMEdwSQ-z3P30gf1w,flawlessgambit ,682,1558929539000,54,,,,,
d4D5fA34_edaNaEiqdN_iFBENjSiLepvN5xcXSoeJQKCuqc,KA6J312pAnbYIP78Hdx4NzQtFUXOZdQ0svSavLJ4RBa8qrw,ffQkyTc1JLpX-0EScwu6zfNqSFj6icaO_dM3dTHFP2OzSw9Giv66GhckK8qzNfYgFPiiT_rQeogOQw,darktwister48,3189,1558567501000,82,,,,,
