id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel,c1,c2,c3,c4,c5,m1,m2,m3,m4,m5,m6,m7,m8
cU8isAx252Pfnq3Ry4by0yURaY8eqF6T39axey7IKXGcsMs,Zzr6t8JBx51iSQs9njcLiqV4CxmaNWH-ViQHcJPmo70p9LE,TyTFC9pyuhr53GiuVuEoM0pqNJ5HridA3zkNir6UsduU2DXMWq6lTohopUcBUkFJ53B348-vl8X1vw,vinhmap1243,4086,1558606954000,77,,,,,,"{'platformId': 'NA1', 'gameId': 3049145349, 'champion': 59, 'queue': 420, 'season': 13, 'timestamp': 1558605026705, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3049142895, 'champion': 59, 'queue': 420, 'season': 13, 'timestamp': 1558602509497, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3049149790, 'champion': 59, 'queue': 420, 'season': 13, 'timestamp': 1558600771002, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3049126391, 'champion': 3, 'queue': 420, 'season': 13, 'timestamp': 1558598343105, 'role': 'DUO_SUPPORT', 'lane': 'BOTTOM'}","{'platformId': 'NA1', 'gameId': 3047700118, 'champion': 24, 'queue': 420, 'season': 13, 'timestamp': 1558440109715, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3045383317, 'champion': 59, 'queue': 420, 'season': 13, 'timestamp': 1558199257039, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3045358590, 'champion': 59, 'queue': 420, 'season': 13, 'timestamp': 1558197241374, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3044685200, 'champion': 24, 'queue': 420, 'season': 13, 'timestamp': 1558110502575, 'role': 'NONE', 'lane': 'JUNGLE'}"
otIzLS4C3NWwLOTUzlDZ-TOxeqvKBDVRJHBh0xNN3xBpNQo,nxsF8iCSk1EkQT96CKhOLKphfm9m0cDb3mZAarate6vHZQ,sHdvg_Zij68-irJHUS3Hifv-X-Q0sidNDdcdgx5WjTQObGSsjtigCfZPRS1SFA-k4z1ARlHrn1jz4A,DaRussianKnight,3006,1558938490000,34,,,,,,"{'platformId': 'NA1', 'gameId': 3049119628, 'champion': 22, 'queue': 420, 'season': 13, 'timestamp': 1558599768172, 'role': 'DUO_SUPPORT', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3047615771, 'champion': 25, 'queue': 420, 'season': 13, 'timestamp': 1558424817310, 'role': 'DUO_SUPPORT', 'lane': 'NONE'}","{'platformId': 'NA1', 'gameId': 3046935413, 'champion': 22, 'queue': 420, 'season': 13, 'timestamp': 1558336143820, 'role': 'DUO_CARRY', 'lane': 'BOTTOM'}","{'platformId': 'NA1', 'gameId': 3045083604, 'champion': 22, 'queue': 420, 'season': 13, 'timestamp': 1558151112389, 'role': 'DUO_CARRY', 'lane': 'BOTTOM'}","{'platformId': 'NA1', 'gameId': 3044454379, 'champion': 22, 'queue': 420, 'season': 13, 'timestamp': 1558064139477, 'role': 'DUO', 'lane': 'BOTTOM'}","{'platformId': 'NA1', 'gameId': 3044403853, 'champion': 22, 'queue': 420, 'season': 13, 'timestamp': 1558061533679, 'role': 'DUO_CARRY', 'lane': 'BOTTOM'}","{'platformId': 'NA1', 'gameId': 3043618576, 'champion': 1, 'queue': 420, 'season': 13, 'timestamp': 1557985725239, 'role': 'DUO', 'lane': 'BOTTOM'}","{'platformId': 'NA1', 'gameId': 3043606810, 'champion': 22, 'queue': 420, 'season': 13, 'timestamp': 1557982759967, 'role': 'DUO_CARRY', 'lane': 'BOTTOM'}"
LvHUbmMqSh6_L9spRU70YTvr1fpeR_gh-LeRqPgKT279yD4,Xx1OR8JlpXDP3uZeCsRwOlwcEWbXIEbewxYF4hddwTf-mzA,nTLmK70BC4YpVPMwIXLXPPz8WRQVycPzisxSouaBiZXdHSzgNgIbP5hERLpNNi9LrwoCm22Z7BP9tg,LordlyStevo,4098,1558925836000,82,,,,,,"{'platformId': 'NA1', 'gameId': 3052070807, 'champion': 254, 'queue': 420, 'season': 13, 'timestamp': 1558923596037, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3051944723, 'champion': 254, 'queue': 420, 'season': 13, 'timestamp': 1558921549417, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3050804093, 'champion': 254, 'queue': 420, 'season': 13, 'timestamp': 1558807305995, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3050792241, 'champion': 254, 'queue': 420, 'season': 13, 'timestamp': 1558805410262, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3050764779, 'champion': 202, 'queue': 420, 'season': 13, 'timestamp': 1558802169905, 'role': 'DUO_CARRY', 'lane': 'BOTTOM'}","{'platformId': 'NA1', 'gameId': 3050433978, 'champion': 91, 'queue': 420, 'season': 13, 'timestamp': 1558752346176, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3050422039, 'champion': 7, 'queue': 420, 'season': 13, 'timestamp': 1558750247730, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3047464069, 'champion': 7, 'queue': 420, 'season': 13, 'timestamp': 1558409027909, 'role': 'SOLO', 'lane': 'MID'}"
mlAaGcVn-aefjMYGAzuJauJyH_O60z6E56AFS6Orw-mjT0w,c2NCga5YLtwwDN-U_BUm5eefrMm7xZFNbIbxHvQouqxIx0w,zSDIlSwAyq5pqoTBy1O8Pfbd21mnLIfpq7eSMz55h1bKIc9ZNv3-ypvgYV4s_ZOPl1tRxtuxxZ8dnQ,CaptainPorkchops,3015,1558405513000,46,,,,,,"{'platformId': 'NA1', 'gameId': 3047376995, 'champion': 1, 'queue': 420, 'season': 13, 'timestamp': 1558403365790, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3047326585, 'champion': 517, 'queue': 420, 'season': 13, 'timestamp': 1558400917586, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3046677929, 'champion': 517, 'queue': 420, 'season': 13, 'timestamp': 1558313198976, 'role': 'DUO_CARRY', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3046647891, 'champion': 45, 'queue': 420, 'season': 13, 'timestamp': 1558310827057, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 2998334597, 'champion': 106, 'queue': 420, 'season': 13, 'timestamp': 1552532564078, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 2998323727, 'champion': 2, 'queue': 420, 'season': 13, 'timestamp': 1552530341585, 'role': 'SOLO', 'lane': 'TOP'}","{'platformId': 'NA1', 'gameId': 2998154484, 'champion': 122, 'queue': 420, 'season': 13, 'timestamp': 1552517910432, 'role': 'SOLO', 'lane': 'TOP'}","{'platformId': 'NA1', 'gameId': 2998137517, 'champion': 23, 'queue': 420, 'season': 13, 'timestamp': 1552515775485, 'role': 'SOLO', 'lane': 'TOP'}"
2PeJHunre246aN6t4CLpiqzMaVqb6ej5QuMXHgaR7NURYQk,RilQRmjh66CUz36nTXBQJ4LSivdARXF7-3bsFR50a97I8g,6tIm8a0N4x7YJDDaTu01dlMtnV_rwniECe5PU1OH8zXmn47jnyhrJ6zm59P5skpMylxxnmgKVusXJQ,Villyn,539,1558939519000,49,,,,,,"{'platformId': 'NA1', 'gameId': 3052139481, 'champion': 45, 'queue': 420, 'season': 13, 'timestamp': 1558928869628, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3052045748, 'champion': 105, 'queue': 420, 'season': 13, 'timestamp': 1558923898616, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3051944986, 'champion': 105, 'queue': 420, 'season': 13, 'timestamp': 1558921586131, 'role': 'DUO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3051941703, 'champion': 105, 'queue': 420, 'season': 13, 'timestamp': 1558920875212, 'role': 'DUO', 'lane': 'NONE'}","{'platformId': 'NA1', 'gameId': 3051860140, 'champion': 105, 'queue': 420, 'season': 13, 'timestamp': 1558918945118, 'role': 'DUO_SUPPORT', 'lane': 'NONE'}","{'platformId': 'NA1', 'gameId': 3051748222, 'champion': 105, 'queue': 420, 'season': 13, 'timestamp': 1558916031713, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3051526714, 'champion': 105, 'queue': 420, 'season': 13, 'timestamp': 1558898366151, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3051246325, 'champion': 63, 'queue': 420, 'season': 13, 'timestamp': 1558848241941, 'role': 'SOLO', 'lane': 'MID'}"
igS2W1Q7LdkoK_B1M6BieqLMqcM2vwgtUX1taW9Hde0HISHP,Ng_o8UsaKYztoTuMg1SchoqNYHqi1XWwWrI9lWFmxNhAJNo9l0gYy0SV,wY-UKzFtxYouzgPAKj60anHphGSO7rWw69lIucjmvPWTcGKy1e8pxUtNdiESlbJAqhZVIv6vwz4RDw,pHanTomARC1,3550,1556667924000,41,,,,,,"{'platformId': 'EUW1', 'gameId': 4044367049, 'champion': 81, 'queue': 420, 'season': 13, 'timestamp': 1558983453038, 'role': 'DUO', 'lane': 'MID'}","{'platformId': 'EUW1', 'gameId': 4044049249, 'champion': 81, 'queue': 420, 'season': 13, 'timestamp': 1558968438490, 'role': 'DUO_CARRY', 'lane': 'BOTTOM'}","{'platformId': 'EUW1', 'gameId': 4044054324, 'champion': 81, 'queue': 420, 'season': 13, 'timestamp': 1558966921304, 'role': 'DUO_SUPPORT', 'lane': 'NONE'}","{'platformId': 'EUW1', 'gameId': 4043914347, 'champion': 81, 'queue': 420, 'season': 13, 'timestamp': 1558954944018, 'role': 'DUO_CARRY', 'lane': 'BOTTOM'}","{'platformId': 'EUW1', 'gameId': 4043891416, 'champion': 81, 'queue': 420, 'season': 13, 'timestamp': 1558953046910, 'role': 'DUO_CARRY', 'lane': 'BOTTOM'}","{'platformId': 'EUW1', 'gameId': 4043261322, 'champion': 81, 'queue': 420, 'season': 13, 'timestamp': 1558890412715, 'role': 'DUO', 'lane': 'MID'}","{'platformId': 'EUW1', 'gameId': 4042680425, 'champion': 81, 'queue': 420, 'season': 13, 'timestamp': 1558880878249, 'role': 'DUO_CARRY', 'lane': 'BOTTOM'}","{'platformId': 'EUW1', 'gameId': 4042664091, 'champion': 81, 'queue': 420, 'season': 13, 'timestamp': 1558879057962, 'role': 'DUO_SUPPORT', 'lane': 'NONE'}"
N3_6ww4AXYHTaMoGGJ_Z9qdOjfNTT1FbJLwdU6zwT4UbOTA,oY_8vIZOIp-7ndQIi9TDTpkU1OrmXiRfZI-4ndgQFc3yUbA,u0wqegWaAYV8IdbjeVH28-Rthi_MJq7Da4MIv2D-uoZ-_kigDnoNKUnlQ-zMGXURD6EYaKcvyDLQoA,SMACKAHOFGBOI,4057,1558673138000,81,,,,,,"{'platformId': 'NA1', 'gameId': 3049613427, 'champion': 80, 'queue': 420, 'season': 13, 'timestamp': 1558671395468, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3046578269, 'champion': 157, 'queue': 420, 'season': 13, 'timestamp': 1558305862548, 'role': 'SOLO', 'lane': 'TOP'}","{'platformId': 'NA1', 'gameId': 3039008833, 'champion': 37, 'queue': 420, 'season': 13, 'timestamp': 1557474936799, 'role': 'DUO_SUPPORT', 'lane': 'BOTTOM'}","{'platformId': 'NA1', 'gameId': 3039002298, 'champion': 157, 'queue': 420, 'season': 13, 'timestamp': 1557471502927, 'role': 'SOLO', 'lane': 'TOP'}","{'platformId': 'NA1', 'gameId': 3038990371, 'champion': 80, 'queue': 420, 'season': 13, 'timestamp': 1557470447384, 'role': 'DUO', 'lane': 'NONE'}","{'platformId': 'NA1', 'gameId': 3032870086, 'champion': 80, 'queue': 420, 'season': 13, 'timestamp': 1556733749677, 'role': 'DUO', 'lane': 'TOP'}","{'platformId': 'NA1', 'gameId': 3032854099, 'champion': 157, 'queue': 420, 'season': 13, 'timestamp': 1556729323583, 'role': 'SOLO', 'lane': 'TOP'}","{'platformId': 'NA1', 'gameId': 3032728957, 'champion': 157, 'queue': 420, 'season': 13, 'timestamp': 1556724383750, 'role': 'NONE', 'lane': 'JUNGLE'}"
4yDlYhMxvbDSsKQ59MGm1valomXGGMV4hzcgY5t3G8rbqds,W818YZg93yx1befCiqqenEABrwVaeI6LazvX_H9hjW9mRQ,hPxgMKA4xp8iWCAYkcijjCUdCB1d38bUDzPiPlj-Dx6gLnfkGZI47_AYfvY-1OUD6p_5MydjnB5UfQ,pie454,25,1558892582000,30,,,,,,"{'platformId': 'NA1', 'gameId': 3051480309, 'champion': 245, 'queue': 420, 'season': 13, 'timestamp': 1558891582152, 'role': 'DUO_SUPPORT', 'lane': 'NONE'}","{'platformId': 'NA1', 'gameId': 3050830549, 'champion': 245, 'queue': 420, 'season': 13, 'timestamp': 1558809649232, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3050503079, 'champion': 245, 'queue': 420, 'season': 13, 'timestamp': 1558756947715, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3050397610, 'champion': 245, 'queue': 420, 'season': 13, 'timestamp': 1558749235043, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3050271792, 'champion': 245, 'queue': 420, 'season': 13, 'timestamp': 1558736685814, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3040768343, 'champion': 245, 'queue': 420, 'season': 13, 'timestamp': 1557683939067, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3038162711, 'champion': 245, 'queue': 420, 'season': 13, 'timestamp': 1557363312517, 'role': 'SOLO', 'lane': 'MID'}","{'platformId': 'NA1', 'gameId': 3036754131, 'champion': 245, 'queue': 420, 'season': 13, 'timestamp': 1557194347578, 'role': 'SOLO', 'lane': 'MID'}"
fD8I209zhmFxmalbGg4rFQWX9eZjVIwLUJVvmtDh5IBKb2I,4f9HEHRuRv-NcNKs2fJQ_kXjrF3tCZOqCct7EgmH95WJBv0,luLzLEXiZDt6q00LJwF0EZkuJ1MKhLHeXUTyYGNjBiAbDfJXW9XfWTGolHIxlnVcyOu6VVVMIAGSeg,AtlasMinor,3902,1549413326000,72,,,,,,"{'platformId': 'NA1', 'gameId': 2970957991, 'champion': 14, 'queue': 420, 'season': 13, 'timestamp': 1549411680417, 'role': 'SOLO', 'lane': 'TOP'}","{'platformId': 'NA1', 'gameId': 2970836560, 'champion': 74, 'queue': 420, 'season': 13, 'timestamp': 1549398500225, 'role': 'SOLO', 'lane': 'TOP'}","{'platformId': 'NA1', 'gameId': 2970841734, 'champion': 10, 'queue': 420, 'season': 13, 'timestamp': 1549396568204, 'role': 'SOLO', 'lane': 'TOP'}","{'platformId': 'NA1', 'gameId': 2970716345, 'champion': 10, 'queue': 420, 'season': 13, 'timestamp': 1549380836940, 'role': 'DUO_SUPPORT', 'lane': 'BOTTOM'}","{'platformId': 'NA1', 'gameId': 2970731810, 'champion': 223, 'queue': 420, 'season': 13, 'timestamp': 1549377461837, 'role': 'DUO_SUPPORT', 'lane': 'BOTTOM'}","{'platformId': 'NA1', 'gameId': 2969913777, 'champion': 32, 'queue': 420, 'season': 13, 'timestamp': 1549313271274, 'role': 'DUO_SUPPORT', 'lane': 'BOTTOM'}","{'platformId': 'NA1', 'gameId': 2969784782, 'champion': 1, 'queue': 420, 'season': 13, 'timestamp': 1549287218909, 'role': 'DUO_SUPPORT', 'lane': 'BOTTOM'}","{'platformId': 'NA1', 'gameId': 2969767397, 'champion': 40, 'queue': 420, 'season': 13, 'timestamp': 1549278138185, 'role': 'DUO_SUPPORT', 'lane': 'BOTTOM'}"
tN0BlkCnHl5ucouvSnE9OKIhJTkvkyG_Iyp9Jp8zzh_eeXA,uoBbLfB7vqa7cX-uF1S6KCCRW9W2LMKPMMEZLxmtiWwsFNs,yRm_P6595s8cAdUXvqG9-nbINhw5lDkZA9tx_XJdb4URstamaYMTBNErdBNB-OMEdwSQ-z3P30gf1w,flawlessgambit ,682,1558929539000,54,,,,,,"{'platformId': 'NA1', 'gameId': 3052425210, 'champion': 24, 'queue': 420, 'season': 13, 'timestamp': 1558971688088, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3052164241, 'champion': 24, 'queue': 420, 'season': 13, 'timestamp': 1558928537695, 'role': 'DUO_SUPPORT', 'lane': 'NONE'}","{'platformId': 'NA1', 'gameId': 3052102812, 'champion': 24, 'queue': 420, 'season': 13, 'timestamp': 1558925403201, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3051124334, 'champion': 24, 'queue': 420, 'season': 13, 'timestamp': 1558838600118, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3048912925, 'champion': 105, 'queue': 420, 'season': 13, 'timestamp': 1558577359080, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3048397173, 'champion': 24, 'queue': 420, 'season': 13, 'timestamp': 1558498690086, 'role': 'NONE', 'lane': 'JUNGLE'}","{'platformId': 'NA1', 'gameId': 3048380474, 'champion': 24, 'queue': 420, 'season': 13, 'timestamp': 1558497082836, 'role': 'DUO_SUPPORT', 'lane': 'NONE'}","{'platformId': 'NA1', 'gameId': 3046763725, 'champion': 24, 'queue': 420, 'season': 13, 'timestamp': 1558319755543, 'role': 'NONE', 'lane': 'JUNGLE'}"
